i-traits	type	date	angle	MLP
T1-ddT.9	HSI	T1	side	0.4158
T1-ddT.10	HSI	T1	side	0.7066
T1-ddT.11	HSI	T1	side	0.4042
T1-ddT.12	HSI	T1	side	0.4686
T1-ddT.13	HSI	T1	side	0.5692
T1-ddT.14	HSI	T1	side	0.4472
T1-ddT.15	HSI	T1	side	0.4974
T1-ddT.16	HSI	T1	side	0.4446
T1-ddT.17	HSI	T1	side	0.4988
T1-ddT.18	HSI	T1	side	0.4114
T1-ddT.19	HSI	T1	side	0.6316
T1-ddT.20	HSI	T1	side	0.3844
T1-ddT.21	HSI	T1	side	0.506
T1-ddT.22	HSI	T1	side	0.5174
T1-ddT.23	HSI	T1	side	0.503
T1-ddT.24	HSI	T1	side	0.527
T1-ddT.25	HSI	T1	side	0.39
T1-ddT.26	HSI	T1	side	0.441
T1-ddT.27	HSI	T1	side	0.3944
T1-ddT.28	HSI	T1	side	0.4026
T1-ddT.29	HSI	T1	side	0.4696
T1-ddT.30	HSI	T1	side	0.502
T1-ddT.31	HSI	T1	side	0.4902
T1-ddT.32	HSI	T1	side	0.467
T1-ddT.33	HSI	T1	side	0.5008
T1-ddT.34	HSI	T1	side	0.4964
T1-ddT.35	HSI	T1	side	0.567
T1-ddT.36	HSI	T1	side	0.4948
T1-ddT.37	HSI	T1	side	0.3862
T1-ddT.38	HSI	T1	side	0.5424
T1-ddT.39	HSI	T1	side	0.5592
T1-ddT.40	HSI	T1	side	0.4704
T1-ddT.41	HSI	T1	side	0.5254
T1-ddT.42	HSI	T1	side	0.4484
T1-ddT.43	HSI	T1	side	0.4298
T1-ddT.44	HSI	T1	side	0.4282
T1-ddT.45	HSI	T1	side	0.4448
T1-ddT.46	HSI	T1	side	0.5138
T1-ddT.47	HSI	T1	side	0.3268
T1-ddT.48	HSI	T1	side	0.4728
T1-ddT.49	HSI	T1	side	0.3668
T1-ddT.50	HSI	T1	side	0.4792
T1-ddT.51	HSI	T1	side	0.4902
T1-ddT.52	HSI	T1	side	0.5146
T1-ddT.53	HSI	T1	side	0.4098
T1-ddT.54	HSI	T1	side	0.5128
T1-ddT.55	HSI	T1	side	0.4398
T1-ddT.56	HSI	T1	side	0.5374
T1-ddT.57	HSI	T1	side	0.4504
T1-ddT.58	HSI	T1	side	0.427
T1-ddT.59	HSI	T1	side	0.492
T1-ddT.60	HSI	T1	side	0.4462
T1-ddT.61	HSI	T1	side	0.4182
T1-ddT.62	HSI	T1	side	0.4072
T1-ddT.63	HSI	T1	side	0.4454
T1-ddT.64	HSI	T1	side	0.4406
T1-ddT.65	HSI	T1	side	0.441
T1-ddT.66	HSI	T1	side	0.397
T1-ddT.67	HSI	T1	side	0.5096
T1-ddT.68	HSI	T1	side	0.4048
T1-ddT.69	HSI	T1	side	0.44
T1-ddT.70	HSI	T1	side	0.5098
T1-ddT.71	HSI	T1	side	0.4522
T1-ddT.72	HSI	T1	side	0.6868
T1-ddT.73	HSI	T1	side	0.3448
T1-ddT.74	HSI	T1	side	0.4688
T1-ddT.75	HSI	T1	side	0.3972
T1-ddT.76	HSI	T1	side	0.4104
T1-ddT.77	HSI	T1	side	0.4448
T1-ddT.78	HSI	T1	side	0.4612
T1-ddT.79	HSI	T1	side	0.444
T1-ddT.80	HSI	T1	side	0.5942
T1-ddT.81	HSI	T1	side	0.5432
T1-ddT.82	HSI	T1	side	0.5626
T1-ddT.83	HSI	T1	side	0.4108
T1-ddT.84	HSI	T1	side	0.5192
T1-ddT.85	HSI	T1	side	0.4014
T1-ddT.86	HSI	T1	side	0.3922
T1-ddT.87	HSI	T1	side	0.4188
T1-ddT.88	HSI	T1	side	0.4988
T1-ddT.89	HSI	T1	side	0.3914
T1-ddT.90	HSI	T1	side	0.5298
